# Initial package inventory for the focused-suite migration.
# status remains planned until every test in the package is mapped or retained.
current_package	focused_layer	focused_area	status
./adapters/fiber	parity+contract	v2.package.adapters.fiber	planned
./adapters/gin	parity+contract	v2.package.adapters.gin	planned
./cmd/openrails	unit+contract	v2.package.cmd.openrails	planned
./embed	parity+contract	v2.package.embed	planned
./embed/controlplane	parity+contract	v2.package.embed.controlplane	planned
./examples/billingapp	unit+contract	v2.package.examples.billingapp	planned
./examples/embedded	unit+contract	v2.package.examples.embedded	planned
./examples/multimerchant	unit+contract	v2.package.examples.multimerchant	planned
./examples/standalone	unit+contract	v2.package.examples.standalone	planned
./internal/app	unit+contract	v2.package.internal.app	planned
./internal/billingimport	unit+contract	v2.package.internal.billingimport	planned
./internal/bootstrap	unit+contract	v2.package.internal.bootstrap	planned
./internal/controlplane	unit+contract	v2.package.internal.controlplane	planned
./internal/crypto	unit+contract	v2.package.internal.crypto	planned
./internal/custodymigration	unit+contract	v2.package.internal.custodymigration	planned
./internal/db	database	v2.package.internal.db	planned
./internal/db/querytest	database	v2.package.internal.db.querytest	planned
./internal/dbtest	database	v2.package.internal.dbtest	planned
./internal/hostauth	unit+contract	v2.package.internal.hostauth	planned
./internal/hosttools	unit+contract	v2.package.internal.hosttools	planned
./internal/http	parity+contract	v2.package.internal.http	planned
./internal/http/embedhttp	parity+contract	v2.package.internal.http.embedhttp	planned
./internal/http/handlers	parity+contract	v2.package.internal.http.handlers	planned
./internal/http/middleware	parity+contract	v2.package.internal.http.middleware	planned
./internal/http/routes	parity+contract	v2.package.internal.http.routes	planned
./internal/httptesthost	parity+contract	v2.package.internal.httptesthost	planned
./internal/integrationharness	provider+parity	v2.package.internal.integrationharness	planned
./internal/integrations/nmi	unit+contract	v2.package.internal.integrations.nmi	planned
./internal/integrations/vault	unit+contract	v2.package.internal.integrations.vault	planned
./internal/integrations/vault/vaulttest	unit+contract	v2.package.internal.integrations.vault.vaulttest	planned
./internal/intents	provider+durability	v2.package.internal.intents	planned
./internal/invariantaudit	unit+contract	v2.package.internal.invariantaudit	planned
./internal/merchantarchive	unit+contract	v2.package.internal.merchantarchive	planned
./internal/merchants	unit+contract	v2.package.internal.merchants	planned
./internal/merchantsecrets	unit+contract	v2.package.internal.merchantsecrets	planned
./internal/migrate	database	v2.package.internal.migrate	planned
./internal/migrate/postgres	database	v2.package.internal.migrate.postgres	planned
./internal/modules/abuse	provider+durability	v2.package.internal.modules.abuse	planned
./internal/modules/admission	provider+durability	v2.package.internal.modules.admission	planned
./internal/modules/admission/spendgate	provider+durability	v2.package.internal.modules.admission.spendgate	planned
./internal/modules/alerting	provider+durability	v2.package.internal.modules.alerting	planned
./internal/modules/catalog	provider+durability	v2.package.internal.modules.catalog	planned
./internal/modules/checkout	provider+durability	v2.package.internal.modules.checkout	planned
./internal/modules/delinquency	provider+durability	v2.package.internal.modules.delinquency	planned
./internal/modules/entitlements	provider+durability	v2.package.internal.modules.entitlements	planned
./internal/modules/grants	provider+durability	v2.package.internal.modules.grants	planned
./internal/modules/metrics	provider+durability	v2.package.internal.modules.metrics	planned
./internal/modules/money	provider+durability	v2.package.internal.modules.money	planned
./internal/modules/money/ledger	provider+durability	v2.package.internal.modules.money.ledger	planned
./internal/modules/paymentmethods	provider+durability	v2.package.internal.modules.paymentmethods	planned
./internal/modules/payments	provider+durability	v2.package.internal.modules.payments	planned
./internal/modules/productaccess	provider+durability	v2.package.internal.modules.productaccess	planned
./internal/modules/ratelimit	provider+durability	v2.package.internal.modules.ratelimit	planned
./internal/modules/replaycache	provider+durability	v2.package.internal.modules.replaycache	planned
./internal/modules/solana	provider+durability	v2.package.internal.modules.solana	planned
./internal/modules/solana/recurring	provider+durability	v2.package.internal.modules.solana.recurring	planned
./internal/modules/subscriptions	provider+durability	v2.package.internal.modules.subscriptions	planned
./internal/modules/webhooks	provider+durability	v2.package.internal.modules.webhooks	planned
./internal/operator	unit+contract	v2.package.internal.operator	planned
./internal/pgidentity	database	v2.package.internal.pgidentity	planned
./internal/railresolve	unit+contract	v2.package.internal.railresolve	planned
./internal/reconcile	provider+durability	v2.package.internal.reconcile	planned
./internal/reconcile/converge	provider+durability	v2.package.internal.reconcile.converge	planned
./internal/river	provider+durability	v2.package.internal.river	planned
./internal/service	unit+contract	v2.package.internal.service	planned
./internal/testfixture	unit+contract	v2.package.internal.testfixture	planned
./tests	unit+contract	v2.package.tests	planned
