# Exact reviewed physical-clock boundaries. No path-wide or fragment exceptions.
# path|trimmed source line|classification|reason|reviewed occurrence count
internal/http/handlers/payment_methods.go|now := time.Now().UTC()|external_protocol_time|Payment network card expiry uses the actual calendar|1
internal/http/handlers/solana_recurring.go|return time.Now()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
internal/http/handlers/solana_supported_tokens.go|quotedAt := time.Now()|external_protocol_time|Oracle quote freshness uses physical time|1
internal/http/handlers/webhook.go|ReceivedAt:     time.Now(),|infrastructure_time|Physical webhook receipt timestamp|2
internal/http/handlers/webhook.go|ReceivedAt: time.Now(),|infrastructure_time|Physical webhook receipt timestamp|1
internal/http/handlers/webhook_basistheory.go|ReceivedAt:     time.Now(),|infrastructure_time|Physical webhook receipt timestamp|1
internal/modules/admission/accrual_rate.go|return time.Now().UTC()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
internal/modules/admission/admitter.go|a.denials.Record(ctx, merchantID, customer.UUID().String(), code, time.Now())|infrastructure_time|Request deadline/hold lifetime and denial observation use physical time|1
internal/modules/admission/admitter.go|holdLifetime, err := holdTTL(req.ExpiresAt, time.Now())|infrastructure_time|Request deadline/hold lifetime and denial observation use physical time|1
internal/modules/admission/policy.go|now := time.Now().UTC()|db_audit_timestamp|Policy and binding creation and update audit timestamp|3
internal/modules/alerting/service.go|clock = clockwork.NewRealClock()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
internal/modules/business/cycle.go|clock = clockwork.NewRealClock()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
internal/modules/catalog/stripe_webhooks.go|now = time.Now()|business_time_boundary|Provider rollover default only when explicit Now is unset|2
internal/modules/checkout/custodian_sale.go|NextAttemptAt:  time.Now().UTC(),|infrastructure_time|Queue scheduling and provider retry backoff use physical time|1
internal/modules/checkout/custodian_sale.go|now := time.Now().UTC()|db_audit_timestamp|New saved payment method creation and update audit timestamp|1
internal/modules/checkout/nmi_sale_service.go|NextAttemptAt:  time.Now().UTC(),|infrastructure_time|Queue scheduling and provider retry backoff use physical time|1
internal/modules/checkout/purchase_service.go|return time.Now()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
internal/modules/checkout/service.go|NextAttemptAt:  time.Now().UTC(),|infrastructure_time|Queue scheduling and provider retry backoff use physical time|1
internal/modules/checkout/service.go|return time.Now()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
internal/modules/checkout/session_repo.go|now = time.Now()|db_audit_timestamp|Default updated_at timestamp; expiry lookup requires caller time|1
internal/modules/checkout/session_service.go|return time.Now()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
internal/modules/copilot/service.go|d.Clock = clockwork.NewRealClock()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
internal/modules/copilot/service.go|return time.Now()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
internal/modules/dashboard/dashboard.go|return validateWidgetsAt(widgets, time.Now().UTC())|business_time_boundary|Standalone convenience validation; explicit-time API used by clock-aware services|1
internal/modules/dashboard/service.go|d.Clock = clockwork.NewRealClock()|business_time_boundary|Explicit default clock boundary; supplied business clock takes precedence|1
