# or#855: recorded per-package `go test` seconds for the UNTAGGED (unit) suite,
# used ONLY to balance the CI shards (scripts/ci-shard.sh).
#
# Source: the `Test (race)` step of a CI run. Regenerate from the unit shard
# job logs:
#   gh api repos/open-rails/openrails/actions/jobs/<id>/logs |
#     sed -nE 's#.*ok[[:space:]]+github\.com/open-rails/openrails/?([^[:space:]]*)[[:space:]]+([0-9.]+)s.*#\1\t\2#p' |
#     sort
#
# Two packages are 130s of the suite's 240s, so an unweighted split cannot be
# balanced: round-robin put both in one shard and made it 136s against 64s.
#
# A package missing here still runs — it just gets the default weight. A stale
# table costs balance, never coverage.
	1.647
cmd/openrails	1.045
config	1.859
embed	1.032
internal/app	1.031
internal/auth	1.017
internal/bootstrap	1.134
internal/captcha	1.030
internal/controlplane	6.701
internal/crypto	1.012
internal/db	3.999
internal/db/models	1.013
internal/db/queryguard	4.946
internal/db/sqlaudit	1.052
internal/http	1.054
internal/http/embedhttp	1.032
internal/http/handlers	1.091
internal/http/middleware	1.094
internal/http/request	1.030
internal/http/router	1.028
internal/http/routes	1.088
internal/http/routesurface	1.013
internal/integrations/basistheory	1.378
internal/integrations/ccbill	1.043
internal/integrations/fx	1.015
internal/integrations/nmi	1.891
internal/integrations/pyth	1.014
internal/integrations/solana	1.040
internal/integrations/solana/subscriptions	1.019
internal/integrations/stripeapi	1.270
internal/integrations/vault	1.025
internal/intents	2.803
internal/merchants	4.190
internal/merchantsecrets	1.017
internal/migrate	1.013
internal/modules/admission	1.011
internal/modules/alerting	1.018
internal/modules/catalog	1.064
internal/modules/checkout	1.033
internal/modules/collection	1.023
internal/modules/copilot	1.017
internal/modules/dashboard	1.248
internal/modules/delinquency	1.012
internal/modules/grants	1.012
internal/modules/idempotency	1.009
internal/modules/metrics	1.017
internal/modules/money	1.014
internal/modules/money/ledger	1.021
internal/modules/paymentmethods	1.016
internal/modules/payments	1.012
internal/modules/payments/rails	1.009
internal/modules/payments/rails/nmidirect	1.016
internal/modules/payments/rails/nmiproxy	1.021
internal/modules/reconcile	1.018
internal/modules/solana	1.131
internal/modules/solana/recurring	57.092
internal/modules/solana/tokens	1.011
internal/modules/subscriptions	1.033
internal/modules/webhooks	1.429
internal/railresolve	1.011
internal/reconcile	1.594
internal/river	1.163
internal/shared/format	1.010
internal/shared/httpx	1.013
internal/shared/iputil	1.013
internal/shared/moneyutil	3.726
internal/shared/redact	1.011
internal/shared/sigverify	1.008
internal/shared/timeutil	1.010
internal/shared/uuidutil	1.008
internal/shared/webhookutil	1.013
internal/webhookauth	1.011
migrations/postgres	3.779
pkg/billingauth	1.015
pkg/catalog	1.098
pkg/embedded	1.059
pkg/embedded/controlplane	1.022
pkg/identity	1.007
pkg/merchant	1.009
pkg/pricing	1.010
pkg/service	73.061
tests	1.016
